教材版本,年级,章,节,小节
,,,第2节 比例线段,24.2 比例线段
,,,,24.3 三角形一边的平行线
,,,第3节 相似三角形,24.4 相似三角形的判定
,,,,24.5 相似三角形的性质
,,,第4节 平面向量的线性运算,24.6 实数与向量相乘
,,,,24.7 向量的线性运算
,,第二十五章 锐角的三角比,第1节 锐角的三角比,25.1 锐角的三角比的意义
,,,,25.2 求锐角的三角比的值
,,,第二节 解直角三角形,25.3 解直角三角形
,,,,25.4 解直角三角形的应用
,,第二十六章 二次函数,第1节 二次函数的概念,26.1 二次函数的概念
,,,第2节 二次函数的图像,26.2 特殊二次函数的图像
,,,,26.3 二次函数   的图像
,九年级下,第二十七章 圆与正多边形,第1节 圆的基本性质,27.1 圆的确定
,,,,27.2 圆心角、弧、弦、弦心距之间的关系
,,,,27.3 垂径定理
,,,第2节 直线与圆、圆与圆的位置关系,27.4 直线与圆的位置关系
,,,,27.5 圆与圆的位置关系
,,,第3节 正多边形与圆,27.6 正多边形与圆
,,第二十八章 统计初步,第1节 统计的意义,28.1 数据整理与表示
,,,,28.2 统计的意义
,,,第2节 基本的统计量,28.3 表示一组数据平均水平的量
,,,,28.4 表示一组数据波动程度的量
,,,,28.5 表示一组数据分布的量
,,,,28.6 统计实习
,九年级拓展,第一章 一元二次方程与二次函数,第1节 一元二次方程的根与系数的关系,1.1 一元二次方程的根与系数的关系
,,,第2节 二次函数的解析式,1.2 二次函数与一元二次方程
,,,,1.3 二次函数的解析式的确定
,,,,公路隧道的可行性分析
,,第二章 直线和圆,第2节 圆的切线,2.1 圆的切线
,,,第2节 与圆有关的角及比例线段,2.2 与圆有关的角
,,,,2.3 与圆有关的比例线段
,,,第3节 圆内接四边形,2.4 圆内接四边形
